publishedAt,authorDisplayName,textDisplay,likeCount
2024-11-03T09:34:09Z,@dyrroth2127,Kesini karena ada yang mediashare ke Gema show,0
2024-11-03T07:42:43Z,@PortfolioOFGeorge,"musnahkan judol , meresahkan sebagian besar masyarakat, terutama bagi mereka yang ekonomi nya kelas menengah - kebawah.. <br><br>bukan hanya judol saja, pinjol, paylater, apapun itu juga harus dihilangkan..",0
2024-11-02T10:12:52Z,@SalsaLixia,"Gw denger di channel sebelah kata nya bukan masyarakat doang yg bekerjasama dengan judol,bahkan pemerintah aj bekerja sama dengan judol,katanya dilindungi oleh komdigi",2
2024-11-01T08:27:59Z,@orenjidesu7290,Yah.. bang.. semoga opening yang ini jadi pelajaran juga sih.. kedepannya semoga gak pake AI generated content :(,0
2024-10-31T00:41:11Z,@kevinchristochanel6345,ericko lim hayo dimana kamu ericko lim? hahaha,1
2024-10-30T12:00:28Z,@U2704,bang...ELUU KEREEEN BANG BENER BANG,0
2024-10-30T09:57:29Z,@StooryShortt,Dan teman saya pun punya yt short AI doang loh bang. Buat nempelin Situs di setiap vidio nya tanpa muka dia kontrak 3 bulan 300Jt 😅. Untung kawan saya masih berpikir waras,0
2024-10-30T01:38:10Z,@falleet,terima kasih bang atas konten bermanfaatnya,0
2024-10-29T17:37:56Z,@exiagn0012,Ke sini gara2 Windah ngundang influencer judol 😅,2
2024-10-27T14:18:14Z,@LukmanHidayat-j7x,Sebenarnya influencer seperti ini adalah PENGHINANAT BANGSA yang mengorbankan bangsa sendiri untuk keuntungan penjajah online. Apakah penghianat seperti ini masih boleh tinggal dan hidup di bumi pertiwi ini,2
2024-10-24T09:34:12Z,@jepjep5735,"gw udh kalah puluhan juta, utang dimana mana, untuk mikir bunuh diri si engga, cukup menyesali dan jangan di ulang... semua tergantung mental manusianya<br>dan mental rakyat indonesia di dlm dirinya juga tertanam mental judi...",1
2024-10-23T05:30:37Z,@funtastic9401,"Anjir setelah liat video ini trs bandingkan data yg sekarang. Pemain judol bertambah 10x lipat lebih dari setahun yg lalu. (200 ribu  lebih ke 2.7 juta++). Gk heran ekonomi kita sedang lesu lesunya, deflasi 5 bulan beruntun wong uang kita gk muter di market tapi ie kantong Judol. Rusak Rusak. <br><br><br>Bukan cuma nyawa yg main judi yang hilang yang gk main judi pun berpotensi kehilangan nyawa karena ekonomi rusak.",8
2024-11-08T00:09:27Z,@ImDumbAtChess,"Pdhl P. Menteri Budi Arie, sdh menyatakan PERANG melawan judol.<br><br>Bahkan kebobolan pusat data sementara kemarin, katanya itu akibat bandar judol.",0
2024-10-19T00:28:41Z,@Waltz2104,"Shit.. mungkin gw telat nonton dan komen video ini..<br>Tapi 1 pesen gw ke kalian pemain judi online.. apalagi kelas ekonomi ke bawah..<br>Please stop doing that shit.. lu punya keluarga yang harus lu hidupin, lu punya diri sendiri buat lu hidupin.. lu masih punya harapan hidup kalo lo berhenti sekarang dan mulai hidup baru..",3
2024-10-18T13:27:05Z,@kaitolunatique6658,Makasih videonya bang,1
2024-10-18T11:17:40Z,@maslutpi1941,"ada yang kasi panggung orang yang jelas jelas dia promosi sampe live streaming judol bang, tolong ditegur si windah",2
2024-11-08T03:26:25Z,@VoltbeatZero,Itu si ericko ga ada kapok2 nya njir,0
2024-11-09T06:45:40Z,@ridhokonoha3477,Marsha luminer gimane bang?,0
2024-10-17T06:07:31Z,@Noelle_Main,"<a href=""https://www.youtube.com/watch?v=sjkU1cSq900&amp;t=681"">11:21</a> sad moment dimana kapur papan tulis itu pecah",2
2024-10-17T02:26:48Z,@MrHarminto,212rb apakah termasuk para pejabat?,1
2024-10-22T12:34:38Z,@iwlylth,"tentu, kita tak pernah tahu kan",0
2024-10-16T14:48:24Z,@javamaukar,fuck online gambling,1
2024-10-14T19:58:16Z,@DavidKurniawan69,Mantan promotor judol boleh dikasih panggung gak bang?,2
2024-10-14T20:26:11Z,@Ken18050,Mereka layak dapat kesempatan kedua🤭,2
2024-10-15T10:12:24Z,@bahrishamsul,Wkwkwk,2
2024-10-11T08:45:45Z,@exskay89,prinsip orang judi : selagi rumah belum ke jual hantam terus kawan😢,3
2024-10-09T11:30:19Z,@koriusani2228,Yg ngeselin dari penjudi udah kejebak utang ditolongin bilang tobat ehhhh malah judi lagi.... dan itu ade w sendiri..... 😢😢 apakah penggemar judol bisa sembuh..... klo ga bisa sembuh bisa&quot; saya yg miskin 😩😩,2
2024-10-15T09:04:41Z,@nyankobig3868,"Jujur aja sih yang bikin judi itu asik bukan karna kalah nya tapi proses main yang bikin jantung terpacu , itu yang bikin orang tetap terus bermain judi , berdasarkan kisah nyata saya sendiri , makanya banyak orang yang judionline itu bilang kall udh menang tipis jangan di lanjutin karna udh ketebak sistem bakal rungkad",0
2024-10-22T12:35:39Z,@iwlylth,​@@nyankobig3868Menang tipis? menang sekali aja ga pernah,0
2024-10-09T09:18:23Z,@Empat.,yg banyak ga orang notice tpi itu yg sebenernya point dari permasalahan yg kompleks ini adalah &quot;mudahnya proses transaksi&quot;,7
2024-10-09T09:21:50Z,@Empat.,solusinya yg mungkin bisa menghilangkan atauu setidaknya mengurangi pemain buat main yaitu putuskan atau lebih ketatkan akses transaksi,0
2024-10-09T05:51:24Z,@DearDiaryMe,Bos nya Dewa United gak jadi diusut ???? 😂😂😂,0
2024-10-08T14:36:12Z,@ajatsopian4863,"<a href=""https://www.youtube.com/watch?v=sjkU1cSq900&amp;t=392"">6:32</a> <a href=""https://www.youtube.com/watch?v=sjkU1cSq900&amp;t=394"">6:34</a> <a href=""https://www.youtube.com/watch?v=sjkU1cSq900&amp;t=394"">6:34</a> <a href=""https://www.youtube.com/watch?v=sjkU1cSq900&amp;t=395"">6:35</a> <a href=""https://www.youtube.com/watch?v=sjkU1cSq900&amp;t=396"">6:36</a> <a href=""https://www.youtube.com/watch?v=sjkU1cSq900&amp;t=396"">6:36</a> <a href=""https://www.youtube.com/watch?v=sjkU1cSq900&amp;t=396"">6:36</a> <a href=""https://www.youtube.com/watch?v=sjkU1cSq900&amp;t=396"">6:36</a>",0
2024-10-08T13:50:06Z,@xtrashpeople,"ada faktor lagi yg saya melihat dengan mata kepala saya sendiri bg, yaitu dengan system perusahan perusahaan judi tersebut mengendors akun akun repost an seperti, akun meme, akun tobrut, dan lain lain juga ikut andil, dan dengan nominal yg cukup bahkan lebih untuk seseorang tidak perlu berkerja di luar rumah lagi dan korban korban nya yg menjadi pelaku mempromosikan judol itu temen saya sendiri bg",2
2024-10-08T03:10:37Z,@joechristian5977,"bang ferry dengan segala kerendahan hatinya, gak pernah mengaku sebagai &#39;influencer&#39;. <br>tapi bang, you influence how I think. Thank you bang ferry, keep doing what you believe.",1
2024-10-06T15:16:06Z,@Ericosingggihpangestu,Untung gw gk hobi judi ... nyarinya aja susah..gitu aja miikir nya,1
2024-09-28T23:47:16Z,@nurlia2679,Semoga influencer cem bang Fery tambah banyak ibarat polisi etika mrk bertugas menjaga kewarasan logika rakyat dan penguasa.,1
2024-09-25T08:08:12Z,@wongirengrambutan635,"buat influencer yang pernah mempromosikan judol, eh kontol otak pake bangsat",0
2024-09-24T06:16:50Z,@Panjiaja-q3i,"seharus nya kalianlah para youtuber yg harus merubah piskolog para anak negri ini tentang judi online ,kalau memang kalian cinta negri ini🇮🇩🇮🇩",0
2024-09-16T16:27:02Z,@didiksevya1254,Telinga mereka ga denger lagunya Bang Haji Rhoma irama kali yaaa,0
2024-09-14T08:52:24Z,@marcel-ks7ds,Bang lanjut terus bahas terus sangat bermanfaat,1
2024-09-12T18:03:26Z,@ranggaanatapradana,mirip profesor di film money heist,0
2024-09-09T10:27:12Z,@mohammadfajaradipratama571,temen aku ziyannn tolong,0
2024-08-30T13:30:51Z,@rfzyd,mana peduli mereka,0
2024-08-16T05:22:08Z,@okasiraakamr.prince3861,"Gw pernah nyobak karna story dari Selegram sering post link judi, TU 50k emang di awal di kasi menang 1-3 X abis itu zonk ga pernah di kasi menang, dari itu gw tahu klo ini di terusin y kering kerontong Katong ama dompet 😂",0
2024-08-16T05:17:31Z,@okasiraakamr.prince3861,"Selegram yg folower nya 11k aja banyak promo link, blm yg 100k ke atas, every day post story link judi online😅",0
2024-08-14T08:54:58Z,@farrelf1638,🔥,0
